Brand,Bike Model,Model Year,Price (Rs),City,State,Brand_Origin,Model_Type,Finance_Available(Yes/No)
Bajaj,Bajaj Avenger,2015,45000,Bangalore, Karnataka,India,Cruiser,Yes
Bajaj,Bajaj Dominar 400 ABS BS6,2022,210000,Bangalore, Karnataka,India,Commuter,Yes
TVS,TVS Jupiter,2015,28000,Bangalore, Karnataka,India,Scooter,Yes
Hero,Hero Xtreme 160R,2023,85000,Anand, Gujarat,India,Commuter,Yes
TVS,TVS Jupiter,2017,40000,Kolkata, West Bengal,India,Scooter,Yes
Honda,Honda Shine 100,2024,55000,Mumbai, Maharashtra,Japan,Commuter,Yes
Royal Enfield,Royal Enfield Bullet 350,1998,110000,Chennai, Tamil Nadu,India,Cruiser,Yes
Royal Enfield,Royal Enfield Thunderbird 350,2015,75000,Chennai, Tamil Nadu,India,Commuter,Yes
Hero,Hero CD 100,1999,12000,Vadodara, Gujarat,India,Commuter,Yes
TVS,TVS Raider iGO,2024,80000,Allahabad, Uttar Pradesh,India,Commuter,Yes
Ola Electric,Ola S1 Pro,2022,110000,Kozhikode, Kerala,India,Electric,Yes
Bajaj,Bajaj Avenger Cruise 220,2018,60000,Chennai, Tamil Nadu,India,Cruiser,Yes
Royal Enfield,Royal Enfield Scram 411,2023,195000,Hyderabad, Telangana,India,Adventure,Yes
Royal Enfield,Royal Enfield Continental GT 535,2014,70000,Pune, Maharashtra,India,Commuter,Yes
TVS,TVS Apache RTR 160 4V,2018,60000,Purulia, West Bengal,India,Commuter,Yes
Jawa,Jawa 42 Dual Channel ABS AllStar Black,2021,120000,Pune, Maharashtra,Czech Republic,Commuter,Yes
Yamaha,Yamaha YZF R15 V2,2016,60000,Rewa, Madhya Pradesh,Japan,Sports,Yes
Honda,Honda CB300F Flex-Fuel,2025,169000,Mumbai, Maharashtra,Japan,Commuter,Yes
Hero,Hero Splendor Plus,2017,45000,Karnal, Haryana,India,Commuter,Yes
Honda,Honda Activa,2013,35000,Bangalore, Karnataka,Japan,Scooter,Yes
Suzuki,Suzuki Gixxer 150,2016,50000,Bangalore, Karnataka,Japan,Commuter,Yes
Royal Enfield,Royal Enfield Hunter 350 Metro,2023,180000,Chikballapur, Karnataka,India,Commuter,Yes
Royal Enfield,Royal Enfield Classic 350 Dual Channel BS6,2021,150000,Jaunpur, Uttar Pradesh,India,Cruiser,Yes
Hero,Hero Xtreme 160R 4V 2024,2025,120000,Gurgaon, Haryana,India,Commuter,Yes
TVS,TVS Apache RTR 160,2023,110000,Bangalore, Karnataka,India,Commuter,Yes
TVS,TVS Apache RTR 180,2014,27000,Bangalore, Karnataka,India,Commuter,Yes
Ampere Electric,Ampere Reo Li,2018,19000,Cuddalore, Tamil Nadu,India,Commuter,Yes
Suzuki,Suzuki Intruder 150,2018,45000,Bangalore, Karnataka,Japan,Commuter,Yes
Jawa,Jawa 42 Bobber Black Mirror,2023,200000,Ghaziabad, Uttar Pradesh,Czech Republic,Sports,Yes
Royal Enfield,Royal Enfield Classic 350 Dual Channel BS6,2021,165000,Kottayam, Kerala,India,Cruiser,Yes
Royal Enfield,Royal Enfield Thunderbird 500,2018,150000,Bangalore, Karnataka,India,Commuter,Yes
TVS,TVS Apache RTR 160,2011,24000,Bangalore, Karnataka,India,Commuter,Yes
Bajaj,Bajaj Pulsar NS200,2017,75000,Bangalore, Karnataka,India,Commuter,Yes
Royal Enfield,Royal Enfield Classic Desert Storm,2014,95000,Gurgaon, Haryana,India,Cruiser,Yes
TVS,TVS Apache RR 310,2019,160000,Thane, Maharashtra,India,Sports,Yes
Yamaha,Yamaha FZ-S FI V3 BS6,2021,70000,Howrah, West Bengal,Japan,Commuter,Yes
Royal Enfield,Royal Enfield Bullet Standard 350,2020,110000,Hosur, Tamil Nadu,India,Cruiser,Yes
Bajaj,Bajaj Platina 100,2008,15000,New Delhi, Delhi,India,Commuter,Yes
KUOTA,KUOTA KALIBUR,2007,90000,Hyderabad, Telangana,Italy,Commuter,Yes
Royal Enfield,Royal Enfield Hunter 350 Metro,2022,90000,Pune, Maharashtra,India,Commuter,Yes
Royal Enfield,Royal Enfield Bear 650,2025,380000,Bhopal, Madhya Pradesh,India,Commuter,Yes
KTM,KTM Duke 200 2024,2025,200000,Pune, Maharashtra,Austria,Sports,Yes
Yamaha,Yamaha MT-15 Ver 2.0,2022,140000,Ahmednagar, Maharashtra,Japan,Commuter,Yes
Bajaj,Bajaj Pulsar 220 DTSFi,2013,59000,Bangalore, Karnataka,India,Commuter,Yes
Jawa,Jawa Perak BS6,2020,135000,Meerut, Uttar Pradesh,Czech Republic,Commuter,Yes
Triumph,Triumph Speed T4,2024,225000,Bhopal, Madhya Pradesh,UK,Sports,Yes
Royal Enfield,Royal Enfield Himalayan,2016,80000,North 24 Parganas, West Bengal,India,Adventure,Yes
Yamaha,Yamaha FZ-X,2025,130000,Maharajganj, Uttar Pradesh,Japan,Commuter,Yes
KTM,KTM RC 200,2018,127000,Pratapgarh, Rajasthan,Austria,Sports,Yes
Honda,Honda Activa,2013,20000,North West Delhi, Delhi,Japan,Scooter,Yes
Hero,Hero Pleasure,2016,30000,Jamshedpur, Jharkhand,India,Scooter,Yes
Bajaj,Bajaj Chetak Premium Standard,2024,110000,Bhopal, Madhya Pradesh,India,Commuter,Yes
Hero,Hero,2011,20000,Mumbai, Maharashtra,India,Commuter,Yes
KTM,KTM RC 390,2018,120000,South West Delhi, Delhi,Austria,Sports,Yes
Jawa,Jawa Jawa,2020,110000,North 24 Parganas, West Bengal,Czech Republic,Commuter,Yes
Hero,Hero Splendor Plus BS6,2024,70000,Dhule, Maharashtra,India,Commuter,Yes
Hero,Hero Xtreme 125R,2025,95000,Chhatarpur, Madhya Pradesh,India,Commuter,Yes
Bajaj,Bajaj Avenger Street 160,2019,35000,Pune, Maharashtra,India,Cruiser,Yes
Yamaha,Yamaha FZ-S FI V3,2019,63000,Erode, Tamil Nadu,Japan,Commuter,Yes
Yamaha,Yamaha YZF R15 S,2017,55000,Pune, Maharashtra,Japan,Sports,Yes
Triumph,Triumph Speed 400,2024,230000,New Delhi, Delhi,UK,Sports,Yes
Bajaj,Bajaj Pulsar NS400Z,2025,210000,Tirupur, Tamil Nadu,India,Commuter,Yes
Royal Enfield,Royal Enfield Super Meteor 650,2024,420000,Bangalore, Karnataka,India,Cruiser,Yes
Royal Enfield,Royal Enfield Himalayan 450,2024,320000,Hyderabad, Telangana,India,Adventure,Yes
Honda,Honda Activa 4G,2017,30000,Kolkata, West Bengal,Japan,Scooter,Yes
Royal Enfield,Royal Enfield Bullet Electra,2003,50000,Mumbai, Maharashtra,India,Cruiser,Yes
Yamaha,Yamaha R15M,2023,140000,New Delhi, Delhi,Japan,Sports,Yes
TVS,TVS Jupiter 125 SmartXonnect,2025,90000,Gurgaon, Haryana,India,Scooter,Yes
Ola Electric,Ola S1 Air,2022,72000,Bangalore, Karnataka,India,Electric,Yes
Jawa,Jawa 42 Bobber Dual Channel ABS,2020,85000,Salem, Tamil Nadu,Czech Republic,Cruiser,Yes
Hero Cycles,Bicycle Schnell,2022,18000,Chennai, Tamil Nadu,India,Commuter,No
Bajaj,Bajaj Pulsar NS125 BS6,2025,100000,Gautam Buddha Nagar, Uttar Pradesh,India,Electric,Yes
Revolt Motors,Revolt RV400 Stealth Black Limited Edition,2023,80000,Medchal-Malkajgiri, Telangana,India,Electric,Yes
Yamaha,Yamaha MT-15,2023,120000,Noida, Uttar Pradesh,Japan,Commuter,Yes
TVS,TVS Raider 125,2023,65000,Jabalpur, Madhya Pradesh,India,Commuter,Yes
Honda,Honda Hornet 2.0,2020,80000,Bangalore, Karnataka,Japan,Commuter,Yes
Honda,Honda Activa 6G Dlx,2023,68000,Faridabad, Haryana,Japan,Scooter,Yes
Royal Enfield,Royal Enfield Classic 350 Dual Channel BS6,2022,190000,Pondicherry, Pondicherry,India,Cruiser,Yes
Royal Enfield,Royal Enfield Bullet 350,2019,145000,Ballia, Uttar Pradesh,India,Cruiser,Yes
TVS,TVS Wego,2014,25000,New Delhi, Delhi,India,Commuter,Yes
Suzuki,Suzuki Gixxer SF,2015,25000,Thane, Maharashtra,Japan,Commuter,Yes
Vespa,Vespa VXL 125,2013,52000,Chennai, Tamil Nadu,Italy,Scooter,Yes
Bajaj,Bajaj Avenger Street 150,2016,42000,Lucknow, Uttar Pradesh,India,Cruiser,Yes
Husqvarna,Husqvarna Vitpilen 250 2020,2020,155000,Ahmedabad, Gujarat,Sweden,Commuter,Yes
Bajaj,Bajaj Avenger Street 160,2016,55000,New Delhi, Delhi,India,Cruiser,Yes
Bajaj,Bajaj Pulsar RS 200 BS6,2022,180000,Belgaum, Karnataka,India,Sports,Yes
Jawa,Jawa forty two,2020,135000,South West Delhi, Delhi,Czech Republic,Commuter,Yes
Royal Enfield,Royal Enfield Classic 350,2023,165000,Kolkata, West Bengal,India,Cruiser,Yes
Jawa,Jawa 42 FJ,2025,185000,East Delhi, Delhi,Czech Republic,Commuter,Yes
Yamaha,Yamaha Fascino,2016,35000,Bangalore, Karnataka,Japan,Scooter,Yes
Hero,Hero Destini 125,2024,70000,Bangalore, Karnataka,India,Commuter,Yes
TVS,TVS Jupiter,2017,40000,Bangalore, Karnataka,India,Scooter,Yes
Bajaj,Bajaj Freedom 125 NG04 Drum,2024,65000,Patna, Bihar,India,Commuter,Yes
Hero,Hero Xtreme Sports,2016,25000,Chandauli, Uttar Pradesh,India,Commuter,Yes
Harley,Harley Davidson X440 Vivid,2023,225000,Bangalore, Karnataka,USA,Commuter,Yes
Suzuki,Suzuki Gixxer SF 250 BS6,2024,180000,Vadodara, Gujarat,Japan,Commuter,Yes
Honda,Honda CB Shine,2013,28999,Ratlam, Madhya Pradesh,Japan,Commuter,Yes
Hero,Hero Passion Pro BS6,2021,58000,Kanpur, Uttar Pradesh,India,Commuter,Yes
Royal Enfield,Royal Enfield Classic 350,2015,85000,Mandi, Himachal Pradesh,India,Cruiser,Yes
TVS,TVS Jupiter 125,2022,80000,Hyderabad, Telangana,India,Scooter,Yes
Revolt Motors,Revolt RV 400,2020,60000,Coimbatore, Tamil Nadu,India,Electric,Yes
KTM,KTM Duke 390 2022,2022,250000,Lucknow, Uttar Pradesh,Austria,Sports,Yes
WaltX,WaltX Spark Spark 7,2023,40000,Lucknow, Uttar Pradesh,India,Commuter,Yes
Ola Electric,Ola S1,2023,90000,Bangalore, Karnataka,India,Electric,Yes
Bajaj,Bajaj Avenger Street 150,2018,38000,Ahmedabad, Gujarat,India,Cruiser,Yes
BMW,BMW G 310 RR,2023,220000,Howrah, West Bengal,Germany,Sports,Yes
Yamaha,Yamaha Aerox 155,2024,130000,Noida, Uttar Pradesh,Japan,Commuter,Yes
Suzuki,Suzuki Gixxer SF 250 BS6,2023,172000,Thane, Maharashtra,Japan,Commuter,Yes
Royal Enfield,Royal Enfield Continental GT 535,2017,110000,Thane, Maharashtra,India,Commuter,Yes
Hero,Hero Achiever,2020,45000,Varanasi, Uttar Pradesh,India,Electric,Yes
Bajaj,Bajaj Pulsar 150 DTSi,2021,90000,Thane, Maharashtra,India,Commuter,Yes
Bajaj,Bajaj Avenger 220 DTS-i,2013,55000,Chennai, Tamil Nadu,India,Cruiser,Yes
Yamaha,Yamaha MT-15,2024,160000,Mumbai, Maharashtra,Japan,Commuter,Yes
TVS,TVS Sport BS6,2022,40000,Gandhinagar, Gujarat,India,Commuter,Yes
Royal Enfield,Royal Enfield Continental GT 650 Twin,2020,280000,Tirupati, Andhra Pradesh,India,Commuter,Yes
Yezdi,Yezdi Roadster Dual Tone,2024,145000,Coimbatore, Tamil Nadu,India,Cruiser,Yes
Honda,Honda CB Trigger,2014,45000,West Champaran, Bihar,Japan,Commuter,Yes
Honda,Honda Hness CB350 DLX Pro,2024,180000,Lucknow, Uttar Pradesh,Japan,Commuter,Yes
Royal Enfield,Royal Enfield Meteor 350 Stellar,2021,160000,Pondicherry, Pondicherry,India,Cruiser,Yes
Bajaj,Bajaj Pulsar NS 160,2019,55000,Bhopal, Madhya Pradesh,India,Commuter,Yes
Yamaha,Yamaha Alpha,2015,25000,Cuddalore, Tamil Nadu,Japan,Commuter,Yes
Royal Enfield,Royal Enfield Classic 350,2014,135000,Gorakhpur, Uttar Pradesh,India,Cruiser,Yes
Royal Enfield,Royal Enfield Guerrilla 450,2024,250000,Hanumangarh, Rajasthan,India,Sports,Yes
Honda,Honda Activa 4G,2015,40000,Bhopal, Madhya Pradesh,Japan,Scooter,Yes
Royal Enfield,Royal Enfield Classic Signals Airborne Blue,2019,180000,Indore, Madhya Pradesh,India,Cruiser,Yes
Royal Enfield,Royal Enfield Thunderbird 350,2015,100000,Pune, Maharashtra,India,Commuter,Yes
Royal Enfield,Royal Enfield Scram 411,2022,218000,Indore, Madhya Pradesh,India,Adventure,Yes
Honda,Honda Unicorn Dazzler,2012,15000,Tirupati, Andhra Pradesh,Japan,Commuter,Yes
Yamaha,Yamaha Fascino,2017,35000,Jaipur, Rajasthan,Japan,Scooter,Yes
Suzuki,Suzuki Access 125 CBS,2020,60000,Tiruchirappalli, Tamil Nadu,Japan,Commuter,Yes
Yezdi,Yezdi Roadster Dark,2022,170000,Navi Mumbai, Maharashtra,India,Cruiser,Yes
Bajaj,Bajaj Pulsar 150 DTSi,2013,30000,Pune, Maharashtra,India,Commuter,Yes
Hero,Hero Maestro Edge 110 BS6,2018,43000,Noida, Uttar Pradesh,India,Scooter,Yes
Hero,Hero Pleasure Plus BS6,2019,55000,Pimpri-Chinchwad, Maharashtra,India,Scooter,Yes
Bajaj,Bajaj Avenger Cruise 220,2021,120000,Bhagalpur, Bihar,India,Cruiser,Yes
Royal Enfield,Royal Enfield Scram 411,2022,180000,Mumbai, Maharashtra,India,Adventure,Yes
Ducati,Ducati Multistrada 950,2017,1000000,Bangalore, Karnataka,Italy,Commuter,Yes
Jawa,Jawa 42 Dual Channel ABS AllStar Black,2022,150000,Hyderabad, Telangana,Czech Republic,Commuter,Yes
Bajaj,Bajaj Dominar 400 ABS BS6,2018,120000,West Delhi, Delhi,India,Commuter,Yes
Honda,Honda Activa 3G,2015,20500,South Delhi, Delhi,Japan,Scooter,Yes
Bajaj,Bajaj Avenger 220 DTS-i,2012,22000,Chennai, Tamil Nadu,India,Cruiser,Yes
Yamaha,Yamaha YZF R15 V3,2022,110000,Faridabad, Haryana,Japan,Sports,Yes
Harley,Harley Davidson Street 750,2015,260000,Pune, Maharashtra,USA,Commuter,Yes
Suzuki,Suzuki Gixxer SF,2015,45000,Khammam, Telangana,Japan,Commuter,Yes
TVS,TVS Apache RTR 200 4V ABS,2017,80000,Chandrapur, Maharashtra,India,Commuter,Yes
Royal Enfield,Royal Enfield Interceptor 650 Twin,2022,270000,Khammam, Telangana,India,Sports,Yes
Honda,Honda CBF Stunner,2010,12000,Bangalore, Karnataka,Japan,Commuter,Yes
Jawa,Jawa forty two BS6,2020,140000,Chennai, Tamil Nadu,Czech Republic,Commuter,Yes
Bajaj,Bajaj Dominar 400 Disc,2020,160000,Sambalpur, Orissa,India,Commuter,Yes
Honda,Honda Hness CB350 DLX Pro,2022,160000,Panchkula, Haryana,Japan,Commuter,Yes
Ola Electric,Ola S1 Pro Gen2,2024,99500,Mumbai, Maharashtra,India,Electric,Yes
BMW,BMW G 310 GS,2021,250000,Mumbai, Maharashtra,Germany,Sports,Yes
TVS,TVS NTORQ 125,2019,40000,Kolkata, West Bengal,India,Scooter,Yes
Yamaha,Yamaha FZ-X,2024,130000,Kanyakumari, Tamil Nadu,Japan,Commuter,Yes
Hero,Hero Glamour PGM Fi,2015,55000,Ranchi, Jharkhand,India,Commuter,Yes
Jawa,Jawa forty two,2019,110000,Thane, Maharashtra,Czech Republic,Commuter,Yes
Hero,Hero Splendor iSmart,2017,35000,Allahabad, Uttar Pradesh,India,Commuter,Yes
Jawa,Jawa 42 Dual Channel ABS AllStar Black,2022,150000,New Delhi, Delhi,Czech Republic,Commuter,Yes
Yamaha,Yamaha Fazer,2011,40000,Hyderabad, Telangana,Japan,Commuter,Yes
Aprilia,Aprilia SR 160,2022,59999,Kolkata, West Bengal,Italy,Commuter,Yes
Royal Enfield,Royal Enfield Classic 350,2016,140000,Nashik, Maharashtra,India,Cruiser,Yes
Honda,Honda Activa 5G,2020,60000,Thane, Maharashtra,Japan,Scooter,Yes
Royal Enfield,Royal Enfield Hunter 350 Metro,2023,150000,Surat, Gujarat,India,Commuter,Yes
Honda,Honda SP125,2021,73000,Nizamabad, Telangana,Japan,Commuter,Yes
Yamaha,Yamaha Fazer,2011,45000,Bhopal, Madhya Pradesh,Japan,Commuter,Yes
TVS,TVS Jupiter 125,2025,99000,Tiruchirappalli, Tamil Nadu,India,Scooter,Yes
Bajaj,Bajaj Discover 100 DTS-Si,2011,22000,Indore, Madhya Pradesh,India,Commuter,Yes
Royal Enfield,Royal Enfield Thunderbird 350,2016,110500,Pimpri-Chinchwad, Maharashtra,India,Commuter,Yes
Royal Enfield,Royal Enfield Himalayan 2021,2021,250000,Bangalore, Karnataka,India,Adventure,Yes
KTM,KTM Duke 200 ABS,2020,165000,Hyderabad, Telangana,Austria,Sports,Yes
Yezdi,Yezdi Adventure Matte,2022,225000,Sindhudurg, Maharashtra,India,Adventure,Yes
Bajaj,Bajaj Pulsar NS400Z,2024,195000,Gurgaon, Haryana,India,Commuter,Yes
Odysse Electric,Odysse Hawk Plus,2021,45000,Mumbai, Maharashtra,India,Commuter,Yes
Yamaha,Yamaha R15M,2022,155000,Bangalore, Karnataka,Japan,Sports,Yes
Royal Enfield,Royal Enfield Meteor 350 Stellar,2023,199000,Bangalore, Karnataka,India,Cruiser,Yes
Bajaj,Bajaj Dominar 400 ABS BS6,2023,230000,Coimbatore, Tamil Nadu,India,Commuter,Yes
Hero,Hero Super Splendor,2011,25000,Mumbai, Maharashtra,India,Commuter,Yes
Bajaj,Bajaj Pulsar NS125 BS6,2021,65000,North 24 Parganas, West Bengal,India,Electric,Yes
Bajaj,Bajaj Discover 125 ST,2013,38000,Agra, Uttar Pradesh,India,Commuter,Yes
Hero,Hero XPulse 200,2024,150000,Bangalore, Karnataka,India,Adventure,Yes
Yamaha,Yamaha FZ FI V3 BS6,2022,85000,Bangalore, Karnataka,Japan,Commuter,Yes
Honda,Honda CB Shine,2013,30000,Howrah, West Bengal,Japan,Commuter,Yes
Ola Electric,Ola S1 Pro,2023,88000,Chhindwara, Madhya Pradesh,India,Electric,Yes
Aprilia,Aprilia SR 125,2023,100000,Pune, Maharashtra,Italy,Commuter,Yes
Okaya EV,Okaya Freedum LI-2,2023,50000,North West Delhi, Delhi,India,Commuter,Yes
Vida (by Hero),Vida V1 Pro,2024,110000,Bangalore, Karnataka,India,Commuter,Yes
Jawa,Jawa Perak BS6,2020,190000,Patiala, Punjab,Czech Republic,Commuter,Yes
Jawa,Jawa Midnight Grey,2022,220000,Kakinada, Andhra Pradesh,Czech Republic,Commuter,Yes
Bajaj,Bajaj Pulsar 220F,2013,25000,Vadodara, Gujarat,India,Commuter,Yes
Hero,Hero HF Deluxe BS6,2023,67000,Bhadrak, Orissa,India,Commuter,Yes
Bajaj,Bajaj Chetak 3502 Standard,2025,120000,Pune, Maharashtra,India,Commuter,Yes
KTM,KTM Duke 250,2021,250000,Chennai, Tamil Nadu,Austria,Sports,Yes
Hero,Hero Passion X Pro,2016,20000,Nagapattinam, Tamil Nadu,India,Commuter,Yes
Royal Enfield,Royal Enfield Super Meteor 650,2023,395000,Varanasi, Uttar Pradesh,India,Cruiser,Yes
Honda,Honda Aviator,2011,25000,Pune, Maharashtra,Japan,Commuter,Yes
Bajaj,Bajaj Avenger Street 150,2017,45000,Navi Mumbai, Maharashtra,India,Cruiser,Yes
Bajaj,Bajaj Dominar 400,2019,120000,South Delhi, Delhi,India,Commuter,Yes
Yamaha,Yamaha YZF R15 V3,2018,90000,Lucknow, Uttar Pradesh,Japan,Sports,Yes
Royal Enfield,Royal Enfield Himalayan 450,2023,240000,Thoothukudi, Tamil Nadu,India,Adventure,Yes
Suzuki,Suzuki Access,2011,15000,Bangalore, Karnataka,Japan,Commuter,Yes
Royal Enfield,Royal Enfield Classic 350,2016,90000,North Delhi, Delhi,India,Cruiser,Yes
KTM,KTM 250 Adventure,2023,215000,Coimbatore, Tamil Nadu,Austria,Adventure,Yes
Bajaj,Bajaj Dominar 400,2017,100000,Mysore, Karnataka,India,Commuter,Yes
Suzuki,Suzuki Access 125 BS6,2018,55000,Bangalore, Karnataka,Japan,Commuter,Yes
Yamaha,Yamaha FZ-S,2014,35000,Bangalore, Karnataka,Japan,Commuter,Yes
Honda,Honda Unicorn,2011,20000,Mysore, Karnataka,Japan,Commuter,Yes
TVS,TVS Jupiter,2024,70000,South West Delhi, Delhi,India,Scooter,Yes
Yamaha,Yamaha Saluto 125,2017,25000,Gurgaon, Haryana,Japan,Commuter,Yes
Bajaj,Bajaj CT 100 ES,2020,40000,Pune, Maharashtra,India,Commuter,Yes
TVS,TVS Apache RTR 310,2023,300000,Bangalore, Karnataka,India,Commuter,Yes
Honda,Honda CB Unicorn 160,2016,25000,Navi Mumbai, Maharashtra,Japan,Commuter,Yes
Royal Enfield,Royal Enfield Classic Gunmetal Grey,2018,120000,Purulia, West Bengal,India,Cruiser,Yes
Bajaj,Bajaj Pulsar 180,2011,20000,New Delhi, Delhi,India,Commuter,Yes
Honda,Honda Activa,2019,55000,Chennai, Tamil Nadu,Japan,Scooter,Yes
Royal Enfield,Royal Enfield Thunderbird 500,2015,115000,Pune, Maharashtra,India,Commuter,Yes
Royal Enfield,Royal Enfield Thunderbird X 350,2018,95000,Thane, Maharashtra,India,Commuter,Yes
Hero,Hero CBZ Xtreme,2012,40000,Pune, Maharashtra,India,Commuter,Yes
Royal Enfield,Royal Enfield Thunderbird 350,2017,95000,Hyderabad, Telangana,India,Commuter,Yes
Honda,Honda Activa 6G,2022,60000,Hyderabad, Telangana,Japan,Scooter,Yes
KTM,KTM Duke 200,2021,120000,Pune, Maharashtra,Austria,Sports,Yes
Honda,Honda SP125,2024,90000,Hyderabad, Telangana,Japan,Commuter,Yes
Honda,Honda Activa 6G,2020,48500,West Delhi, Delhi,Japan,Scooter,Yes
TVS,TVS NTORQ 125 Super Soldier Edition,2021,68000,Kanpur Nagar, Uttar Pradesh,India,Scooter,Yes
Jawa,Jawa Jawa,2020,100000,Kolkata, West Bengal,Czech Republic,Commuter,Yes
Royal Enfield,Royal Enfield Classic 350 Dual Channel BS6,2020,180000,Allahabad, Uttar Pradesh,India,Cruiser,Yes
Bajaj,Bajaj Avenger Street 160,2021,75000,Pune, Maharashtra,India,Cruiser,Yes
Bajaj,Bajaj Freedom 125 NG04 Drum LED,2024,95000,New Delhi, Delhi,India,Commuter,Yes
Royal Enfield,Royal Enfield Bullet Standard 350,2023,190000,Bangalore, Karnataka,India,Cruiser,Yes
Bajaj,Bajaj Discover 100M,2015,35000,Lucknow, Uttar Pradesh,India,Commuter,Yes
Bajaj,Bajaj Avenger Cruise 220,2021,110000,Hyderabad, Telangana,India,Cruiser,Yes
Ola Electric,Ola S1 Air,2023,100000,Nashik, Maharashtra,India,Electric,Yes
Bajaj,Bajaj Pulsar 135LS,2016,65000,Kallakurichi, Tamil Nadu,India,Commuter,Yes
Royal Enfield,Royal Enfield 2023 Interceptor 650,2024,370000,Jodhpur, Rajasthan,India,Sports,Yes
TVS,TVS Jupiter Classic,2018,35000,Mumbai, Maharashtra,India,Scooter,Yes
Honda,Honda Activa,2011,20000,Pune, Maharashtra,Japan,Scooter,Yes
Honda,Honda Dream Yuga,2016,39700,Bangalore, Karnataka,Japan,Commuter,Yes
Bajaj,Bajaj Avenger Street 220,2018,70000,Mumbai, Maharashtra,India,Cruiser,Yes
Yamaha,Yamaha SZ-R,2012,45000,South 24 Parganas, West Bengal,Japan,Commuter,Yes
BGAUSS,BGauss C12i Max,2023,65000,South East Delhi, Delhi,India,Commuter,Yes
Hero,Hero Passion Pro,2017,40000,Thane, Maharashtra,India,Commuter,Yes
Yamaha,Yamaha FZ16,2018,60000,Bangalore, Karnataka,Japan,Commuter,Yes
Yamaha,Yamaha FZ25,2019,90000,Mumbai, Maharashtra,Japan,Commuter,Yes
Bajaj,Bajaj Pulsar 135LS,2017,40000,Pune, Maharashtra,India,Commuter,Yes
Aprilia,Aprilia SR 150,2018,52000,Mangalore, Karnataka,Italy,Commuter,Yes
Royal Enfield,Royal Enfield  Diesel bullet 1983 model,1983,190000,Bangalore, Karnataka,India,Cruiser,Yes
TVS,TVS Star City,2009,10000,Chennai, Tamil Nadu,India,Commuter,Yes
TVS,TVS Apache RTR 200 4V 2022,2022,95000,Palghar, Maharashtra,India,Commuter,Yes
Yamaha,Yamaha Fascino,2017,35000,Kolkata, West Bengal,Japan,Scooter,Yes
Honda,Honda Activa 6G,2021,70000,Srinagar, Jammu Kashmir,Japan,Scooter,Yes
Triumph,Triumph Speed 400 2025,2024,240000,Kadapa, Andhra Pradesh,UK,Sports,Yes
Hero,Hero Glamour X 125 Disc,2022,55000,Bangalore, Karnataka,India,Commuter,Yes
Bajaj,Bajaj Pulsar 200 NS ABS,2013,40000,Pune, Maharashtra,India,Commuter,Yes
Suzuki,Suzuki V-Strom 650XT ABS BS6,2023,950000,Bangalore, Karnataka,Japan,Adventure,Yes
Aprilia,Aprilia RS 457,2024,450000,Bangalore, Karnataka,Italy,Sports,Yes
TVS,TVS iQube Electric,2020,70000,Bangalore, Karnataka,India,Electric,Yes
Royal Enfield,Royal Enfield Classic 350,2016,80000,Ghaziabad, Uttar Pradesh,India,Cruiser,Yes
Aprilia,Aprilia SR 150,2020,65000,Howrah, West Bengal,Italy,Commuter,Yes
Hero,Hero Passion Pro i3s,2017,45000,Sangareddy, Telangana,India,Commuter,Yes
Ather Energy,Ather 450X,2021,75000,Mumbai, Maharashtra,India,Commuter,Yes
TVS,TVS Raider 125,2023,95000,Ghaziabad, Uttar Pradesh,India,Commuter,Yes
Royal Enfield,Royal Enfield Interceptor 650 Twin,2022,275000,Chennai, Tamil Nadu,India,Sports,Yes
Honda,Honda CB350 DLX Pro,2024,220000,Mumbai, Maharashtra,Japan,Commuter,Yes
Royal Enfield,Royal Enfield Meteor 350 Fireball,2022,170000,Pune, Maharashtra,India,Cruiser,Yes
Honda,Honda Activa,2024,75000,Lucknow, Uttar Pradesh,Japan,Scooter,Yes
Yamaha,Yamaha R15 V4,2023,160000,Chennai, Tamil Nadu,Japan,Sports,Yes
Royal Enfield,Royal Enfield Classic 350,2016,85000,New Delhi, Delhi,India,Cruiser,Yes
BMW,BMW G 310 RR,2023,270000,Rajkot, Gujarat,Germany,Sports,Yes
Triumph,Triumph Speed 400,2023,199000,South Delhi, Delhi,UK,Sports,Yes
Hero,Hero HF 100,2021,39000,New Delhi, Delhi,India,Commuter,Yes
Royal Enfield,Royal Enfield Interceptor 650 Twin,2024,400000,Bangalore, Karnataka,India,Sports,Yes
Bajaj,Bajaj CT 110 ES,2020,40000,Pilibhit, Uttar Pradesh,India,Commuter,Yes
Triumph,Triumph Speed 400,2025,270000,Pimpri-Chinchwad, Maharashtra,UK,Sports,Yes
Hero,Hero CBZ Xtreme,2012,25000,Kolkata, West Bengal,India,Commuter,Yes
Hero,Hero Xoom LX,2023,60000,Khagaria, Bihar,India,Commuter,Yes
Honda,Honda CB350 DLX,2021,180000,Pune, Maharashtra,Japan,Commuter,Yes
Honda,Honda CB300R,2024,180000,Hyderabad, Telangana,Japan,Commuter,Yes
TVS,TVS Wego,2014,18000,Prayagraj, Uttar Pradesh,India,Commuter,Yes
Revolt Motors,Revolt RV400 Eclipse Red,2020,35000,North Delhi, Delhi,India,Electric,Yes
Hero,Hero Splendor Plus IBS i3s,2022,67000,Anand, Gujarat,India,Commuter,Yes
